[2022-09-08T16:41:53.080196+00:00] blog.ERROR: No such argument: last_name {"exception":"[object] (Geekbrains\\App\\Blog\\Exceptions\\ArgumentsException(code: 0): No such argument: last_name at C:\\projects\\php2_GB\\src\\Blog\\Command\\Arguments.php:46)"} []
[2022-09-09T17:58:25.221294+00:00] blog.ERROR: Cannot resolve type: Geekbrains\App\Blog\Repositories\AuthTokensRepository\AuthTokensRepositoryInterface {"exception":"[object] (Geekbrains\\App\\Blog\\Exceptions\\NotFoundException(code: 0): Cannot resolve type: Geekbrains\\App\\Blog\\Repositories\\AuthTokensRepository\\AuthTokensRepositoryInterface at C:\\projects\\php2_GB\\src\\Blog\\Container\\DIContainer.php:46)"} []
[2022-09-09T18:11:31.689443+00:00] blog.ERROR: Cannot resolve type: Geekbrains\App\Blog\Repositories\AuthTokensRepository\AuthTokensRepositoryInterface {"exception":"[object] (Geekbrains\\App\\Blog\\Exceptions\\NotFoundException(code: 0): Cannot resolve type: Geekbrains\\App\\Blog\\Repositories\\AuthTokensRepository\\AuthTokensRepositoryInterface at C:\\projects\\php2_GB\\src\\Blog\\Container\\DIContainer.php:46)"} []
[2022-09-09T18:12:48.135956+00:00] blog.ERROR: Cannot resolve type: Geekbrains\App\Blog\Repositories\AuthTokensRepository\AuthTokensRepositoryInterface {"exception":"[object] (Geekbrains\\App\\Blog\\Exceptions\\NotFoundException(code: 0): Cannot resolve type: Geekbrains\\App\\Blog\\Repositories\\AuthTokensRepository\\AuthTokensRepositoryInterface at C:\\projects\\php2_GB\\src\\Blog\\Container\\DIContainer.php:46)"} []
[2022-09-09T18:15:32.083796+00:00] blog.ERROR: Cannot resolve type: Geekbrains\App\Blog\Repositories\AuthTokensRepository\AuthTokensRepositoryInterface {"exception":"[object] (Geekbrains\\App\\Blog\\Exceptions\\NotFoundException(code: 0): Cannot resolve type: Geekbrains\\App\\Blog\\Repositories\\AuthTokensRepository\\AuthTokensRepositoryInterface at C:\\projects\\php2_GB\\src\\Blog\\Container\\DIContainer.php:46)"} []
[2022-09-09T18:40:16.834569+00:00] blog.ERROR: Cannot resolve type: Geekbrains\App\Blog\Repositories\AuthTokensRepository\AuthTokensRepositoryInterface {"exception":"[object] (Geekbrains\\App\\Blog\\Exceptions\\NotFoundException(code: 0): Cannot resolve type: Geekbrains\\App\\Blog\\Repositories\\AuthTokensRepository\\AuthTokensRepositoryInterface at C:\\projects\\php2_GB\\src\\Blog\\Container\\DIContainer.php:46)"} []
[2022-09-09T18:54:13.013395+00:00] blog.ERROR: Cannot resolve type: Geekbrains\App\Http\Actions\Auth\BearerTokenAuthentication {"exception":"[object] (Geekbrains\\App\\Blog\\Exceptions\\NotFoundException(code: 0): Cannot resolve type: Geekbrains\\App\\Http\\Actions\\Auth\\BearerTokenAuthentication at C:\\projects\\php2_GB\\src\\Blog\\Container\\DIContainer.php:46)"} []
[2022-09-09T18:55:30.103333+00:00] blog.ERROR: Cannot resolve type: Geekbrains\App\Blog\Repositories\AuthTokensRepository\AuthTokensRepositoryInterface {"exception":"[object] (Geekbrains\\App\\Blog\\Exceptions\\NotFoundException(code: 0): Cannot resolve type: Geekbrains\\App\\Blog\\Repositories\\AuthTokensRepository\\AuthTokensRepositoryInterface at C:\\projects\\php2_GB\\src\\Blog\\Container\\DIContainer.php:46)"} []
[2022-09-09T18:59:51.431699+00:00] blog.ERROR: Cannot resolve type: Geekbrains\App\Blog\Repositories\AuthTokensRepository\AuthTokensRepositoryInterface {"exception":"[object] (Geekbrains\\App\\Blog\\Exceptions\\NotFoundException(code: 0): Cannot resolve type: Geekbrains\\App\\Blog\\Repositories\\AuthTokensRepository\\AuthTokensRepositoryInterface at C:\\projects\\php2_GB\\src\\Blog\\Container\\DIContainer.php:46)"} []
[2022-09-10T01:45:10.436346+00:00] blog.ERROR: Cannot resolve type: Geekbrains\App\Http\Auth\TokenAuthenticationInterface {"exception":"[object] (Geekbrains\\App\\Blog\\Exceptions\\NotFoundException(code: 0): Cannot resolve type: Geekbrains\\App\\Http\\Auth\\TokenAuthenticationInterface at C:\\projects\\php2_GB\\src\\Blog\\Container\\DIContainer.php:46)"} []
[2022-09-10T01:47:25.758441+00:00] blog.ERROR: Cannot resolve type: Geekbrains\App\Http\Auth\TokenAuthenticationInterface {"exception":"[object] (Geekbrains\\App\\Blog\\Exceptions\\NotFoundException(code: 0): Cannot resolve type: Geekbrains\\App\\Http\\Auth\\TokenAuthenticationInterface at C:\\projects\\php2_GB\\src\\Blog\\Container\\DIContainer.php:46)"} []
[2022-09-10T01:48:03.974948+00:00] blog.ERROR: Cannot resolve type: Geekbrains\App\Blog\Repositories\AuthTokensRepository\AuthTokensRepositoryInterface {"exception":"[object] (Geekbrains\\App\\Blog\\Exceptions\\NotFoundException(code: 0): Cannot resolve type: Geekbrains\\App\\Blog\\Repositories\\AuthTokensRepository\\AuthTokensRepositoryInterface at C:\\projects\\php2_GB\\src\\Blog\\Container\\DIContainer.php:46)"} []
[2022-09-10T01:50:17.135590+00:00] blog.ERROR: Cannot resolve type: Geekbrains\App\Blog\Repositories\AuthTokensRepository\AuthTokensRepositoryInterface {"exception":"[object] (Geekbrains\\App\\Blog\\Exceptions\\NotFoundException(code: 0): Cannot resolve type: Geekbrains\\App\\Blog\\Repositories\\AuthTokensRepository\\AuthTokensRepositoryInterface at C:\\projects\\php2_GB\\src\\Blog\\Container\\DIContainer.php:46)"} []
[2022-09-11T04:06:31.747982+00:00] blog.ERROR: Cannot resolve type: Geekbrains\App\Blog\Repositories\AuthTokensRepository\AuthTokensRepositoryInterface {"exception":"[object] (Geekbrains\\App\\Blog\\Exceptions\\NotFoundException(code: 0): Cannot resolve type: Geekbrains\\App\\Blog\\Repositories\\AuthTokensRepository\\AuthTokensRepositoryInterface at C:\\projects\\php2_GB\\src\\Blog\\Container\\DIContainer.php:46)"} []
[2022-09-12T05:21:03.477474+00:00] blog.ERROR: Bad token: [fc8ec5957a541a88hh80d89c6938e5fecf50e71a29980111eb63d191646cbc1ee0cb7ecaeb2be1f364] {"exception":"[object] (Geekbrains\\App\\Blog\\Exceptions\\AuthException(code: 0): Bad token: [fc8ec5957a541a88hh80d89c6938e5fecf50e71a29980111eb63d191646cbc1ee0cb7ecaeb2be1f364] at C:\\projects\\php2_GB\\src\\Http\\Auth\\BearerTokenAuthentication.php:49)"} []
